Nom du produit,Quantite,Prix unitaire,Categorie
Televiseur,150,499.99,ecrans
Ordinateur portable,80,799.99,Ordinateurs
Casque audio,200,49.99,Accessoires
Smartphone,120,699.99,Smartphones
Tablette,60,349.99,Tablettes
Imprimante multifonction,50,199.99,Imprimantes
Camera de securite,100,149.99,Domotique
ecouteurs sans fil,300,59.99,Accessoires
Drone avec camera,40,399.99,Loisirs electroniques
Manette de jeu,150,49.99,Accessoires gaming
Chargeur sans fil,200,19.99,Accessoires electroniques
Clavier mecanique,120,89.99,Accessoires informatiques
Carte graphique RTX 4080,25,1299.99,Composants PC
Souris gamer RGB,180,39.99,Accessoires gaming
Projecteur HD,70,299.99,ecrans
Barre de son,90,249.99,Accessoires audio
Routeur Wi-Fi 6,110,129.99,electronique
Carte memoire 256 Go,250,34.99,Stockage
Disque SSD 1 To,90,149.99,Stockage
Hub USB-C,140,29.99,Accessoires electroniques
